"number","title","pageid","namespace","length","touched"
"130","Чернишов_Борис_Іванович","16054","","4691","20191203115605"
"131","Чернова_Мар'яна_Володимирівна","16076","","6036","20191117195902"
"132","Черняєв_Василь_Матвійович","16109","","22483","20200507003430"
"133","Чистякова_Валентина_Миколаївна","16177","","10734","20190829160937"
"134","Чмельов_Сергій_Петрович","16191","","3400","20190716113529"
"135","Чорновіл_Дмитро_Семенович","16223","","5753","20190801110923"
"136","Чубинський_Михайло_Павлович","16264","","22780","20200510083047"
"137","Шагайда_Степан_Васильович","16311","","13561","20200429073434"
"138","Йоганн_Баптіст_Шад","16316","","9266","20200507064613"
"139","Шалашников_Олександр_Петрович","16324","","2119","20200219013348"
"140","Шамрай_Агапій_Пилипович","16334","","8600","20191103155141"
"141","Шарлай_Роман_Іванович","16369","","3388","20191204185250"
"142","Шаронов_Михайло_Андрійович","16372","","3630","20190925172444"
"143","Шатілов_Петро_Іванович","16376","","12155","20200423225820"
"144","Шварцберг_Яків_Олександрович","16415","","10179","20190614150654"
"145","Шевель_Георгій_Георгійович","16432","","8531","20200410173657"
"146","Шевельов_Юрій_Володимирович","16433","","83903","20200511182711"
"147","Шелест_Віталій_Петрович","16514","","7274","20200416185325"
"148","Шелест_Петро_Юхимович","16517","","45741","20200425142342"
"149","Шерцль_Вікентій_Іванович","16562","","7042","20191114015558"
"150","Шестопалов_Віктор_Петрович","16567","","15586","20200504205734"
"151","Шидловський_Андрій_Петрович","16574","","2063","20200309100231"
"152","Шиян_Кир_Карлович","16618","","2043","20190322223647"
"153","Шиллер_Микола_Миколайович","16623","","8182","20190717113708"
"154","Інститут_дерматології_та_венерології_Академії_медичних_наук_України","16641","","2620","20200419125136"
"155","Ґео_Шкурупій","16658","","23440","20200325102141"
"156","Шліхтер_Олександр_Григорович","16667","","24908","20191025180657"
"157","Шляхи_мистецтва","16674","","4901","20200202072232"
"158","Шміт_Федір_Іванович","16690","","7721","20190606094440"
"159","Шовкопляс_Юрій_Юрійович","16704","","12325","20190407173537"
"160","Шпара_Петро_Юхимович","16726","","14190","20200325212345"
"161","Шпигоцький_Опанас_Григорович","16728","","2521","20190528133832"
"162","Яловий_Михайло_Омелянович","16736","","15165","20190927093827"
"163","Шрамко_Борис_Андрійович","16746","","36844","20191227225040"
"164","Штогаренко_Андрій_Якович","16778","","9482","20200206184832"
"165","Шумило_Микита_Михейович","16818","","11604","20200405090310"
"166","Шумлянський_Павло_Михайлович","16828","","6511","20200503163906"
"167","Шупик_Платон_Лукич","16835","","8837","20191205134041"
"168","Щеглов_Олексій_Михайлович","16859","","2092","20190514132945"
"169","Щелков_Іван_Петрович","16866","","8688","20200506140845"
"170","Щербина_Йосип_Тимофійович","16891","","3901","20200503160445"
"171","Щербина_Микола_Федорович","16893","","27283","20181214055031"
"172","Щоголів_Яків_Іванович","16916","","17853","20191226080624"
"173","Щукарьов_Олександр_Миколайович","16928","","18358","20200509152316"
"174","Щупак_Самійло_Борисович","16932","","6942","20200504002557"
"175","Юдін_Тихон_Іванович","16984","","6073","20190214131208"
"176","Южный_русский_сборник","16992","","7642","20200202115250"
"177","Юзефович_Наталія_Володимирівна","16996","","7174","20190802090254"
"178","Юрезанський_Володимир_Тимофійович","17028","","6414","20200508225937"
"179","Юр'єв_Василь_Якович","17031","","6681","20200513042647"
"180","Юрк_Юрій_Юрійович","17053","","3242","20200307180715"
"181","Юрченко_Людмила_Володимирівна","17067","","7448","20200513090449"
"182","Юхвід_Леонід_Аронович","17078","","7985","20200312060058"
"183","Юхименко_Іван_Якович","17079","","8296","20191006115737"
"184","Юхновська_Нінель_Григорівна","17086","","1508","20200508221507"
"185","Ющенко_Григорій_Іванович","17096","","5023","20200503101739"
"186","Ющенко_Олександр_Іванович","17099","","4390","20200207113121"
"187","Яворський_Болеслав_Леопольдович","17151","","6984","20200513060229"
"188","Казімеж_Анджей_Яворський","17159","","2966","20190707003107"
"189","Якоб_Людвіґ","17215","","3628","20190821090342"
"190","Якобій_Аркадій_Іванович","17216","","5535","20190802144911"
"191","Яковенко_Олена_Миколаївна","17226","","3250","20191124085908"
"192","Ямпольський_Стефан_Михайлович","17287","","16103","20191124131250"
"193","Янишева_Нінель_Яківна","17303","","10795","20190802172405"
"194","Яновичева_Ванда_Адольфівна","17320","","18584","20200513140326"
"195","Яновський_Борис_Карлович","17323","","2697","20200403161518"
"196","Янчуков_Олександр_Тимофійович","17343","","1528","20200327103908"
"197","Яригіна_Антоніна_Василівна","17360","","4636","20200120230107"
"198","Яровинський_Борис_Львович","17382","","3924","20200503174116"
"199","Ярославський_Петро_Антонович","17406","","9085","20200102140725"
"200","Олесь_Ясний","17453","","5672","20200219101043"
"201","Яхнис_Борис","17480","","3329","20190313114825"
"202","Яшек_Микола_Федорович","17506","","1452","20200323192840"
"203","Тимофєєв_Володимир_Федорович","17540","","4092","20191009071720"
"204","Тимошенко_Сергій_Прокопович","17551","","15222","20190924064321"
"205","Тимченко_Йосип_Андрійович","17558","","13813","20191008185405"
"206","Титаренко_Надія_Калістратівна","17588","","24374","20190525081707"
"207","Тиховський_Павло_Іванович","17600","","5037","20190916090225"
"208","Тихомандрицький_Матвій_Олександрович","17602","","10350","20200504134028"
"209","Єпіфаній_(Тихорський)","17609","","5328","20190929182158"
"210","Тищинський_Олександр_Амфіанович","17617","","13185","20190806042358"
"211","Тіц_Михайло_Дмитрович","17628","","2460","20200414050759"
"212","Ткаченко_Борис_Данилович","17633","","7095","20200410214135"
"213","Ткаченко_Іван","17635","","1209","20190904115327"
"214","Ткаченко_Нінель_Олександрівна","17637","","5516","20200102175801"
"215","Товкач_Костянтин_Іванович","17725","","1115","20191116100547"
"216","Толок_Володимир_Тарасович","17745","","15235","20200505090624"
"217","Толочинов_Микола_Пилипович","17747","","1588","20191118224800"
"218","Тольба_Веніамін_Савелійович","17755","","8293","20190702210112"
"219","Трахтеров_Володимир_Сергійович","17821","","1654","20200313192124"
"220","Третяк_Василь_Якович","17838","","6855","20200120230117"
"221","Троїцький_Іван_Віссаріонович","17871","","4883","20190509194105"
"222","Тронько_Петро_Тимофійович","17875","","40319","20191208201451"
"223","Троценко_Віктор_Карпович","17887","","6719","20191020201204"
"224","Трублаїні_Микола_Петрович","17913","","26304","20200428111714"
"225","Турбаба_Дмитро_Петрович","17957","","3066","20190904115021"
"226","Турчанинов_Микола_Степанович","17986","","4607","20190718043238"
"227","Тюменєва_Галина_Олександрівна","18015","","8073","20190424135416"
"228","Тягно_Борис_Хомич","18028","","3982","20200306181505"
"229","Уда_(річка)","18058","","36383","20200511055850"
"230","Ужвій_Наталія_Михайлівна","18068","","24065","20200513091951"
"231","Український_альманах","18085","","14586","20200120185328"
"232","Український_вісник_(1816—1819)","18086","","5596","20200414234813"
"233","Український_журнал_(1824—1825)","18088","","4215","20200120073519"
"234","Вітчизна_(часопис)","18176","","5891","20191028070149"
"235","Українське_науково-технічне_товариство","18302","","1395","20180905212624"
"236","Український_Засів","18353","","1276","20200120090814"
